,ini_types,ext_prob
1,-100,0.999999994286459
2,-99,0.999999992123784
3,-98,0.999999989158407
4,-97,0.999999985098687
5,-96,0.99999997954948
6,-95,0.999999971976462
7,-94,0.999999961658585
8,-93,0.999999947624909
9,-92,0.999999928570735
10,-91,0.999999902746492
11,-90,0.99999986781071
12,-89,0.999999820635956
13,-88,0.999999757053493
14,-87,0.99999967151866
15,-86,0.999999556674174
16,-85,0.999999402782512
17,-84,0.999999196990623
18,-83,0.999998922379852
19,-82,0.999998556740743
20,-81,0.999998070996194
21,-80,0.999997427177522
22,-79,0.999996575837104
23,-78,0.99999545275844
24,-77,0.999993974799848
25,-76,0.999992034678803
26,-75,0.999989494467085
27,-74,0.999986177518061
28,-73,0.999981858484973
29,-72,0.999976251016961
30,-71,0.999968992650083
31,-70,0.999959626363376
32,-69,0.999947578265262
33,-68,0.999932130924403
34,-67,0.999912391952013
35,-66,0.999887257547707
36,-65,0.999855370795374
37,-64,0.999815074517668
38,-63,0.999764358510556
39,-62,0.99970080112531
40,-61,0.999621505671251
41,-60,0.99952303320632
42,-59,0.999401335046854
43,-58,0.99925169056041
44,-57,0.999068657972241
45,-56,0.998846047286189
46,-55,0.998576924407727
47,-54,0.998253654181016
48,-53,0.997867988267927
49,-52,0.997411203315367
50,-51,0.996874297183617
51,-50,0.996248255939136
52,-49,0.995524408709316
53,-48,0.994694885438881
54,-47,0.993753177595126
55,-46,0.992694770808521
56,-45,0.991517775707348
57,-44,0.990223442743557
58,-43,0.988816429145739
59,-42,0.987304709384906
60,-41,0.985699088401043
61,-40,0.984012371417921
62,-39,0.982258331051901
63,-38,0.980450657535332
64,-37,0.978602065770212
65,-36,0.976723673772917
66,-35,0.974824688501666
67,-34,0.972912366143678
68,-33,0.970992172385088
69,-32,0.969068056808383
70,-31,0.967142766576106
71,-30,0.965218146543322
72,-29,0.963295396183064
73,-28,0.961375272471149
74,-27,0.959458240204882
75,-26,0.957544577644248
76,-25,0.955634447475353
77,-24,0.953727942638212
78,-23,0.951825114912693
79,-22,0.949925992211905
80,-21,0.948030588768234
81,-20,0.946138910998739
82,-19,0.94425096082265
83,-18,0.942366737515429
84,-17,0.940486238740775
85,-16,0.938609461128758
86,-15,0.936736400606287
87,-14,0.934867052592827
88,-13,0.933001412122414
89,-12,0.931139473924412
90,-11,0.929281232480381
91,-10,0.927426682066392
92,-9,0.925575816785907
93,-8,0.923728630596119
94,-7,0.921885117329581
95,-6,0.920045270712198
96,-5,0.918209084378374
97,-4,0.916376551883857
98,-3,0.914547666716733
99,-2,0.912722422306842
100,-1,0.910900812033916
101,0,0.90908282923462
102,1,0.907268467208676
103,2,0.905457719224201
104,3,0.903650578522398
105,4,0.901847038321638
106,5,0.900047091821101
107,6,0.89825073220395
108,7,0.896457952640158
109,8,0.894668746289029
110,9,0.892883106301414
111,10,0.8911010258217
112,11,0.889322497989592
113,12,0.887547515941703
114,13,0.885776072812969
115,14,0.884008161737939
116,15,0.882243775851922
117,16,0.880482908292027
118,17,0.878725552198093
119,18,0.876971700713557
120,19,0.875221346986199
121,20,0.873474484168839
122,21,0.871731105419986
123,22,0.86999120390439
124,23,0.868254772793576
125,24,0.86652180526632
126,25,0.864792294509068
127,26,0.863066233716352
128,27,0.861343616091129
129,28,0.859624434845126
130,29,0.857908683199129
131,30,0.856196354383269
132,31,0.854487441637266
133,32,0.85278193821067
134,33,0.851079837363058
135,34,0.849381132364243
136,35,0.847685816494436
137,36,0.845993883044426
138,37,0.844305325315714
139,38,0.842620136620665
140,39,0.840938310282613
141,40,0.839259839636001
142,41,0.837584718026466
143,42,0.835912938810949
144,43,0.834244495357772
145,44,0.832579381046729
146,45,0.830917589269156
147,46,0.829259113427997
148,47,0.827603946937867
149,48,0.825952083225107
150,49,0.824303515727838
151,50,0.822658237896004
152,51,0.821016243191415
153,52,0.819377525087784
154,53,0.817742077070764
155,54,0.816109892637975
156,55,0.814480965299034
157,56,0.81285528857557
158,57,0.811232856001264
159,58,0.809613661121852
160,59,0.807997697495142
161,60,0.806384958691036
162,61,0.804775438291537
163,62,0.803169129890759
164,63,0.801566027094932
165,64,0.799966123522416
166,65,0.798369412803698
167,66,0.796775888581398
168,67,0.795185544510268
169,68,0.793598374257199
170,69,0.79201437150121
171,70,0.790433529933454
172,71,0.788855843257208
173,72,0.787281305187875
174,73,0.785709909452975
175,74,0.784141649792136
176,75,0.782576519957094
177,76,0.781014513711677
178,77,0.779455624831799
179,78,0.777899847105457
180,79,0.776347174332708
181,80,0.77479760032567
182,81,0.773251118908503
183,82,0.771707723917401
184,83,0.770167409200574
185,84,0.768630168618248
186,85,0.767095996042631
187,86,0.765564885357919
188,87,0.764036830460271
189,88,0.762511825257789
190,89,0.760989863670522
191,90,0.759470939630428
192,91,0.757955047081375
193,92,0.756442179979115
194,93,0.754932332291272
195,94,0.753425497997324
196,95,0.751921671088587
197,96,0.750420845568193
198,97,0.74892301545108
199,98,0.747428174763972
200,99,0.745936317545355
201,100,0.744447437845467
