"","ini_types","ext_prob"
"1",-100,0.999999999991795
"2",-99,0.999999999986498
"3",-98,0.999999999977842
"4",-97,0.999999999963741
"5",-96,0.999999999940837
"6",-95,0.999999999903751
"7",-94,0.999999999843888
"8",-93,0.999999999747573
"9",-92,0.999999999593107
"10",-91,0.999999999346208
"11",-90,0.9999999989529
"12",-89,0.99999999832853
"13",-88,0.999999997340861
"14",-87,0.999999995784139
"15",-86,0.999999993339566
"16",-85,0.999999989515259
"17",-84,0.999999983555606
"18",-83,0.999999974305049
"19",-82,0.999999960004545
"20",-81,0.999999937989132
"21",-80,0.999999904241119
"22",-79,0.99999985273411
"23",-78,0.999999774475963
"24",-77,0.99999965612184
"25",-76,0.999999477978292
"26",-75,0.999999211152034
"27",-74,0.99999881350858
"28",-73,0.999998223990862
"29",-72,0.999997354702151
"30",-71,0.999996079976413
"31",-70,0.999994221440871
"32",-69,0.999991527822076
"33",-68,0.999987647966845
"34",-67,0.999982095263155
"35",-66,0.999974201389218
"36",-65,0.999963057149388
"37",-64,0.999947438161336
"38",-63,0.999925713462505
"39",-62,0.999895735867478
"40",-61,0.999854714328251
"41",-60,0.999799070844733
"42",-59,0.999724287848349
"43",-58,0.99962475656709
"44",-57,0.999493642628232
"45",-56,0.99932279170565
"46",-55,0.999102704543268
"47",-54,0.998822615740332
"48",-53,0.998470712123952
"49",-52,0.998034521628236
"50",-51,0.997501489524006
"51",-50,0.996859733690026
"52",-49,0.996098934823766
"53",-48,0.995211275346619
"54",-47,0.994192301431262
"55",-46,0.993041559718245
"56",-45,0.991762868817258
"57",-44,0.990364134962908
"58",-43,0.988856706696984
"59",-42,0.987254362969972
"60",-41,0.985572109162444
"61",-40,0.983824987243265
"62",-39,0.982027080360335
"63",-38,0.980190823194813
"64",-37,0.978326646379053
"65",-36,0.976442914095776
"66",-35,0.974546074225035
"67",-34,0.972640931128011
"68",-33,0.970730963680935
"69",-32,0.968818633948169
"70",-31,0.96690565544697
"71",-30,0.96499320886596
"72",-29,0.963082105587212
"73",-28,0.961172906007144
"74",-27,0.95926600204112
"75",-26,0.957361673015739
"76",-25,0.955460122736051
"77",-24,0.953561503736521
"78",-23,0.951665933059794
"79",-22,0.949773502553348
"80",-21,0.947884285666183
"81",-20,0.945998342022395
"82",-19,0.944115720577919
"83",-18,0.942236461863123
"84",-17,0.940360599623869
"85",-16,0.938488162056153
"86",-15,0.936619172757975
"87",-14,0.934753651478394
"88",-13,0.932891614716958
"89",-12,0.931033076209979
"90",-11,0.929178047329362
"91",-10,0.927326537412803
"92",-9,0.92547855403925
"93",-8,0.923634103260269
"94",-7,0.921793189795564
"95",-6,0.919955817199077
"96",-5,0.918121988000806
"97",-4,0.916291703828423
"98",-3,0.91446496551203
"99",-2,0.912641773174761
"100",-1,0.910822126311387
"101",0,0.909006023856816
"102",1,0.907193464245919
"103",2,0.905384445466005
"104",3,0.903578965102953
"105",4,0.90177702038187
"106",5,0.899978608203069
"107",6,0.898183725173933
"108",7,0.896392367637252
"109",8,0.894604531696453
"110",9,0.892820213238111
"111",10,0.891039407952119
"112",11,0.889262111349747
"113",12,0.887488318779871
"114",13,0.885718025443575
"115",14,0.883951226407332
"116",15,0.882187916614897
"117",16,0.880428090898069
"118",17,0.878671743986458
"119",18,0.876918870516329
"120",19,0.875169465038666
"121",20,0.8734235220265
"122",21,0.871681035881593
"123",22,0.869942000940552
"124",23,0.868206411480398
"125",24,0.866474261723686
"126",25,0.864745545843192
"127",26,0.863020257966199
"128",27,0.861298392178459
"129",28,0.859579942527826
"130",29,0.857864903027598
"131",30,0.856153267659603
"132",31,0.854445030377054
"133",32,0.85274018510717
"134",33,0.851038725753608
"135",34,0.849340646198725
"136",35,0.847645940305652
"137",36,0.845954601920236
"138",37,0.844266624872824
"139",38,0.842582002979942
"140",39,0.840900730045841
"141",40,0.839222799863933
"142",41,0.837548206218142
"143",42,0.835876942884143
"144",43,0.834209003630538
"145",44,0.832544382219938
"146",45,0.830883072409984
"147",46,0.829225067954292
"148",47,0.827570362603335
"149",48,0.825918950105285
"150",49,0.824270824206781
"151",50,0.822625978653657
"152",51,0.820984407191625
"153",52,0.819346103566911
"154",53,0.817711061526863
"155",54,0.816079274820502
"156",55,0.814450737199058
"157",56,0.81282544241646
"158",57,0.811203384229811
"159",58,0.809584556399817
"160",59,0.807968952691202
"161",60,0.806356566873102
"162",61,0.80474739271942
"163",62,0.803141424009175
"164",63,0.801538654526827
"165",64,0.799939078062583
"166",65,0.798342688412673
"167",66,0.796749479379641
"168",67,0.79515944477258
"169",68,0.793572578407389
"170",69,0.791988874106988
"171",70,0.790408325701543
"172",71,0.78883092702866
"173",72,0.787256671933582
"174",73,0.785685554269364
"175",74,0.784117567897051
"176",75,0.782552706685832
"177",76,0.780990964513193
"178",77,0.779432335265061
"179",78,0.777876812835941
"180",79,0.776324391129043
"181",80,0.774775064056402
"182",81,0.77322882553899
"183",82,0.771685669506829
"184",83,0.770145589899089
"185",84,0.768608580664182
"186",85,0.767074635759858
"187",86,0.765543749153283
"188",87,0.764015914821128
"189",88,0.76249112674964
"190",89,0.760969378934713
"191",90,0.759450665381955
"192",91,0.757934980106758
"193",92,0.756422317134348
"194",93,0.754912670499851
"195",94,0.753406034248339
"196",95,0.75190240243488
"197",96,0.750401769124592
"198",97,0.748904128392678
"199",98,0.747409474324467
"200",99,0.745917801015464
"201",100,0.744429102571374
